"births_X.1","births_X.2","births_X.3","deaths_X.1","deaths_X.2","deaths_X.3","theta_birth","theta_death","phi_birth","phi_death","probs_delta_time","delta_theta","delta_phi","area_birth"
0.772738780803967,0.632704615959132,-0.0505929400767133,0.687164771788046,0.721846328110692,-0.0821124534196474,0.686088928958971,0.810007305850568,-0.0506145483078356,-0.0822050077689329,0.000645682001614205,0.123918376891597,-0.0315904594610974,7
0.768994189115846,0.625167513346197,-0.133467289485455,0.781724858434254,0.610970144435259,-0.124986912573692,0.682598270454982,0.663399648683045,-0.133866753627965,-0.125314640293193,0.000807102502017756,-0.0191986217719373,0.00855211333477221,1
0.310918899847464,-0.762263777153994,-0.567700072006838,0.28058020416232,-0.771725840368935,-0.570713567684432,5.09967754140223,5.06110576493316,-0.603709388264839,-0.607374579694027,0.000968523002421308,-0.0385717764690741,-0.00366519142918798,115
0.407588486149061,-0.891895024380789,-0.195946144242518,0.403825339709484,-0.897295285886777,-0.178287029628876,5.1410418446745,5.13528225814292,-0.197222205475359,-0.179245314179818,0.00145278450363196,-0.00575958653158093,0.0179768912955416,37
-0.963240999159181,-0.256658685639662,0.0793290402346094,-0.925367862021758,-0.367687462577662,0.0921967992962919,3.40199577798735,3.51980550249696,0.079412480965742,0.0923279174305,0.00177562550443906,0.117809724509617,0.012915436464758,113
-0.977138369277618,-0.162640418809504,-0.136925897678073,-0.979690316943364,-0.128804729233361,-0.153675712506992,3.30652626790326,3.27231781456417,-0.137357412131954,-0.154287105876299,0.00177562550443906,-0.0342084533390885,-0.016929693744345,2
0.729313898424095,0.671814056064815,-0.129487882209847,0.733091547349479,0.664027717030066,-0.147118911838637,0.744382925975582,0.736005345566009,-0.129852496348378,-0.14765485471872,0.00209846650524617,-0.0083775804095727,-0.0178023583703422,511
-0.552830702702356,0.825496938418356,0.113723431233586,-0.58222405618391,0.806679902075363,0.101403569899865,2.16089214689418,2.19597326485927,0.11397000015523,0.10157816246607,0.00242130750605327,0.0350811179650861,-0.0123918376891597,13
-0.554933319206477,0.817479974208559,-0.154193070539683,-0.53325631340028,0.829039792478712,-0.168317339289797,2.16717533220136,2.14239165682304,-0.154810704651897,-0.169122404518251,0.00242130750605327,-0.0247836753783193,-0.0143116998663535,18
-0.890510136394361,-0.450609639972487,0.0627905195293134,-0.874778444414338,-0.483302130377765,0.0343762121290921,3.61003902482507,3.64634187326655,0.0628318530717959,0.0343829862642883,0.00274414850686037,0.0363028484414816,-0.0284488668075076,12
-0.781264793051017,-0.582124742979111,-0.225291159947424,-0.778604702018444,-0.562167390055762,-0.278823498924791,3.78195395614651,3.76694412457936,-0.227241868609662,-0.282568805897882,0.00306698950766747,-0.0150098315671516,-0.0553269372882203,2
-0.873606896902412,-0.484447551499462,0.0460603900408522,-0.832914261493055,-0.552549135215611,0.0307129642652526,3.64791266959335,3.72732515055909,0.0460766922526503,0.0307177948351002,0.00306698950766747,0.0794124809657419,-0.0153588974175501,5
-0.872876694144051,-0.461774382456727,0.157641036937918,-0.898532798354356,-0.422242934557821,0.119790293836729,3.62819044904581,3.58089202631677,0.158301363155886,0.12007865253721,0.00322841000807102,-0.0472984227290465,-0.0382227106186758,10
-0.931875912437969,-0.347858099068204,0.102966143613121,-0.942979036467699,-0.309671030334288,0.122042573531333,3.49886155147303,3.45889351160236,0.103148958792865,0.122347580564802,0.00338983050847458,-0.0399680398706703,0.0191986217719376,14
-0.741565376631822,0.66606975964789,0.0801989243288589,-0.771677585988296,0.630037980691806,0.0869818726463569,2.40977609822857,2.45689998803242,0.0802851455917391,0.0870919296745171,0.00355125100887813,0.0471238898038475,0.00680678408277791,64
-0.54746670005385,0.821512770097782,-0.159364302459544,-0.584943988323292,0.800103283898771,-0.132948356961804,2.15862321886659,2.20208191724125,-0.16004669240788,-0.133343154852367,0.00419693301049233,0.0434586983746592,0.0267035375555132,3
-0.629978769039718,0.765857979563725,0.128795596577563,-0.627708656340242,0.772395328467532,0.0968880762377992,2.25915418378146,2.25322006432468,0.12915436464758,0.0970403064108847,0.00435835351089588,-0.00593411945678124,-0.0321140582366957,5
0.738395099264439,0.652128939794425,-0.171757163649317,0.736700540573846,0.658686304256189,-0.152985836284038,0.72343897495165,0.72954762733363,-0.172613063022239,-0.153588974175501,0.00468119451170299,0.00610865238198022,0.0190240888467382,100
0.997724101699227,-0.0529869861078018,0.0417012732621116,0.999156788944011,-0.0216272105691965,0.034899496702501,6.23012729791896,6.26154322445486,0.0417133691226645,0.0349065850398866,0.00564971751412429,0.0314159265358978,-0.00680678408277788,9
0.362174888578991,-0.918024615746796,0.161431579827934,0.336462967557308,-0.92593260182735,0.171585221787203,5.08815836833907,5.06093123200796,0.162141087510273,0.17243853009704,0.00613397901533495,-0.0272271363311107,0.0102974425867666,13
-0.858927190369789,-0.512023367847265,0.00872653549837393,-0.856112140913013,-0.516439860858779,-0.0190229413472849,3.67915406320405,3.68439005096003,0.00872664625997165,-0.0190240888467382,0.0062953995157385,0.00523598775598222,-0.0277507351067098,27
-0.983037102548773,0.0633978699158239,-0.172101031672242,-0.994191418179281,0.0119733992462437,-0.106958224224041,3.0771900041912,3.12954988175103,-0.172962128872638,-0.107163216072452,0.00645682001614205,0.0523598775598297,0.0657989128001863,2
-0.909375498984811,-0.393333495401509,0.135369727935597,-0.920070968863746,-0.363910407065999,0.145046985088234,3.54982516563127,3.51823470617017,0.135786615805159,0.145560459616327,0.0066182405165456,-0.0315904594610972,0.00977384381116822,6
-0.765932111062657,0.63430994597312,0.104875610523512,-0.797343972586324,0.58271317945001,0.157123963403168,2.44991867102444,2.51048159606864,0.105068820970059,0.157777764380287,0.00677966101694915,0.0605629250442035,0.0527089434102287,8
-0.322049829548764,0.931075397883982,-0.171413274698304,-0.354132190149953,0.912062870200676,-0.206716503213707,1.90380514807541,1.94115519406809,-0.17226399717184,-0.208217779762924,0.0069410815173527,0.037350045992679,-0.0359537825910832,7
-0.935450443979964,0.306294554148471,0.176397599067212,-0.963114506165989,0.169996399758634,0.208594515943604,2.82516446020322,2.96688519546516,0.177325452002624,0.210137641940117,0.00726392251815981,0.14172073526194,0.0328121899374934,8
0.582612687910236,0.804256666371105,-0.117190744018658,0.5440484048165,0.827604841453797,-0.138136018542801,0.943874059478533,0.989252620030386,-0.117460658659218,-0.13857914260835,0.00774818401937046,0.0453785605518524,-0.0211184839491314,11
0.759942614589995,0.631813253483721,-0.152640870190255,0.802522088450082,0.55341620671172,-0.2229098465715,0.693593844742547,0.603709388264839,-0.153239908325102,-0.22479840765687,0.00807102502017756,-0.0898844564777077,-0.0715584993317676,4
-0.544074968153473,-0.729932567790725,-0.413740106234864,-0.546988893019484,-0.72272445382105,-0.422460074755456,4.07185314490277,4.06452276204439,-0.426558469187414,-0.436157780073383,0.00903954802259887,-0.0073303828583775,-0.00959931088596883,31
-0.98416561916935,-0.148314003503026,-0.0970617865584348,-0.969984485195255,-0.205822707302437,-0.129487882209847,3.29116737048571,3.35068309797871,-0.0972148393360842,-0.129852496348378,0.00903954802259887,0.0595157274930065,-0.032637657012294,2
-0.452599158497911,0.560511820415128,-0.693527577607338,-0.356539213668501,0.604318328639113,-0.712516067739862,2.25007847167109,2.10381988035396,-0.76637407455071,-0.793077612106223,0.00920096852300242,-0.146258591317125,-0.0267035375555131,1
0.621259033369954,0.781589497085569,0.0561700231596676,0.579164146331306,0.811358964140412,0.0791550561450584,0.899193630627479,0.950855376486511,0.0561996019142174,0.0792379480405426,0.00968523002421308,0.051661745859032,0.0230383461263251,12
0.366841659529506,0.929853736825382,0.0282705667702733,0.351097677345213,0.936063943252892,0.0226873335727814,1.19502693884052,1.21195663258486,0.0282743338823081,0.0226892802759263,0.0101694915254237,0.0169296937443448,-0.00558505360638186,9
